feature,importance
G1,0.29974683544303804
romantic,0.02556962025316456
Walc,0.02278481012658228
age,0.016202531645569628
absences,0.015443037974683538
Fjob,0.010886075949367113
famrel,0.007594936708860777
Mjob,0.006835443037974687
goout,0.005569620253164575
reason,0.005063291139240522
studytime,0.0035443037974683734
famsize,0.00227848101265824
Medu,0.00227848101265824
paid,0.0017721518987341867
school,0.0017721518987341867
health,0.0015189873417721488
Pstatus,0.0010126582278481067
nursery,0.0002531645569620267
higher,0.0002531645569620267
traveltime,0.0002531645569620267
schoolsup,0.0002531645569620267
famsup,0.0
freetime,-0.0005063291139240534
sex,-0.00075949367088608
activities,-0.00075949367088608
address,-0.00075949367088608
guardian,-0.0012658227848101333
Fedu,-0.0012658227848101333
failures,-0.0025316455696202554
internet,-0.0027848101265822824
Dalc,-0.004050632911392416
