group1,group2,meandiff,p-adj,lower,upper,reject
bagging,gradient_boosting,-0.0218,1.0,-0.6328,0.5892,False
bagging,knn,0.9339,0.0001,0.3229,1.5448,True
bagging,lasso,0.2355,0.9717,-0.3755,0.8465,False
bagging,linear_regression,0.3079,0.8514,-0.3031,0.9189,False
bagging,mlp,0.4146,0.4856,-0.1964,1.0256,False
bagging,random_forest,-0.0395,1.0,-0.6505,0.5715,False
bagging,ridge,0.3397,0.7582,-0.2713,0.9507,False
bagging,stacking,-0.051,1.0,-0.662,0.56,False
bagging,svr,0.3016,0.8671,-0.3094,0.9126,False
bagging,xgb,0.0534,1.0,-0.5576,0.6644,False
gradient_boosting,knn,0.9556,0.0001,0.3446,1.5666,True
gradient_boosting,lasso,0.2573,0.9487,-0.3537,0.8682,False
gradient_boosting,linear_regression,0.3297,0.79,-0.2813,0.9407,False
gradient_boosting,mlp,0.4364,0.4071,-0.1746,1.0474,False
gradient_boosting,random_forest,-0.0177,1.0,-0.6287,0.5933,False
gradient_boosting,ridge,0.3615,0.6833,-0.2495,0.9725,False
gradient_boosting,stacking,-0.0292,1.0,-0.6402,0.5817,False
gradient_boosting,svr,0.3234,0.8088,-0.2876,0.9344,False
gradient_boosting,xgb,0.0752,1.0,-0.5358,0.6862,False
knn,lasso,-0.6984,0.012,-1.3094,-0.0874,True
knn,linear_regression,-0.626,0.0398,-1.2369,-0.015,True
knn,mlp,-0.5193,0.1733,-1.1303,0.0917,False
knn,random_forest,-0.9734,0.0,-1.5843,-0.3624,True
knn,ridge,-0.5942,0.0641,-1.2051,0.0168,False
knn,stacking,-0.9849,0.0,-1.5959,-0.3739,True
knn,svr,-0.6323,0.0361,-1.2432,-0.0213,True
knn,xgb,-0.8804,0.0003,-1.4914,-0.2694,True
lasso,linear_regression,0.0724,1.0,-0.5386,0.6834,False
lasso,mlp,0.1791,0.9965,-0.4319,0.7901,False
lasso,random_forest,-0.275,0.922,-0.886,0.336,False
lasso,ridge,0.1042,1.0,-0.5068,0.7152,False
lasso,stacking,-0.2865,0.9005,-0.8975,0.3245,False
lasso,svr,0.0661,1.0,-0.5449,0.6771,False
lasso,xgb,-0.1821,0.996,-0.7931,0.4289,False
linear_regression,mlp,0.1067,1.0,-0.5043,0.7177,False
linear_regression,random_forest,-0.3474,0.7326,-0.9584,0.2636,False
linear_regression,ridge,0.0318,1.0,-0.5792,0.6428,False
linear_regression,stacking,-0.3589,0.6925,-0.9699,0.2521,False
linear_regression,svr,-0.0063,1.0,-0.6173,0.6047,False
linear_regression,xgb,-0.2545,0.9522,-0.8655,0.3565,False
mlp,random_forest,-0.4541,0.3473,-1.0651,0.1569,False
mlp,ridge,-0.0749,1.0,-0.6859,0.5361,False
mlp,stacking,-0.4656,0.311,-1.0766,0.1454,False
mlp,svr,-0.113,0.9999,-0.724,0.498,False
mlp,xgb,-0.3612,0.6844,-0.9722,0.2498,False
random_forest,ridge,0.3792,0.6183,-0.2318,0.9902,False
random_forest,stacking,-0.0115,1.0,-0.6225,0.5995,False
random_forest,svr,0.3411,0.7536,-0.2699,0.9521,False
random_forest,xgb,0.0929,1.0,-0.5181,0.7039,False
ridge,stacking,-0.3907,0.575,-1.0017,0.2203,False
ridge,svr,-0.0381,1.0,-0.6491,0.5729,False
ridge,xgb,-0.2863,0.9009,-0.8973,0.3247,False
stacking,svr,0.3526,0.7146,-0.2584,0.9636,False
stacking,xgb,0.1044,1.0,-0.5065,0.7154,False
svr,xgb,-0.2482,0.9595,-0.8592,0.3628,False
