feature,importance
G2,0.19493670886075948
G1,0.0531645569620253
studytime,0.021518987341772156
reason,0.020253164556962022
absences,0.020253164556962022
famsize,0.013924050632911366
Fedu,0.010126582278481
Dalc,0.010126582278480989
Pstatus,0.010126582278480978
paid,0.007594936708860756
Medu,0.0075949367088607445
health,0.007594936708860733
Walc,0.006329113924050611
freetime,0.005063291139240489
Fjob,0.005063291139240489
address,0.0037974683544303666
traveltime,0.0025316455696202554
internet,0.0025316455696202445
famrel,0.0025316455696202445
famsup,0.0
school,0.0
age,0.0
sex,0.0
Mjob,0.0
nursery,0.0
goout,0.0
higher,0.0
failures,-0.0012658227848101223
schoolsup,-0.005063291139240489
guardian,-0.005063291139240489
activities,-0.007594936708860733
romantic,-0.008860759493670855
