model_type,accuracy_mean,accuracy_std,f1_mean,f1_std
logistic,0.911392405063291,0.03300861977317798,0.9347614395260313,0.02404020720887114
random_forest,0.8962025316455696,0.029305916209595488,0.9231790317197923,0.022066051057901895
gradient_boosting,0.9063291139240507,0.017170455653481697,0.9309243143874617,0.012396990227932255
svm,0.8734177215189873,0.03580287499678721,0.9085991509316365,0.025094658343254524
knn,0.8101265822784809,0.062012398551472864,0.866896187174825,0.03985361145454669
naive_bayes,0.7873417721518987,0.035261742473883834,0.8439832149075845,0.01934382341098297
extra_trees,0.8405063291139241,0.061284650313469385,0.8871338562447402,0.04255733127233925
mlp,0.8911392405063292,0.027266657251313962,0.9202420884496357,0.019995488915246832
xgboost,0.9164556962025315,0.017170455653481718,0.9377945946851265,0.011711550117296944
lightgbm,0.9088607594936707,0.021778038650740832,0.9326984126984128,0.015564551262785218
bagging,0.8987341772151899,0.02773278772178059,0.9227151092012358,0.022819076584596674
stacking,0.9189873417721518,0.028417651038789415,0.9401612588316872,0.019943252215775326
