id_student,code_module,code_presentation,label_pass,label_fail_or_withdraw,sex,age_band,highest_education,imd_band,sex_x_age,studied_credits,num_of_prev_attempts,vle_total_clicks,vle_mean_clicks,vle_max_clicks,vle_first4_clicks,vle_last4_clicks,vle_cumulative_clicks,vle_days_active,assessment_count,assessment_mean_score,assessment_last_score,assessment_ontime_rate
1,DDD,2014J,0,1,Female,55<=,Post Graduate Qualification,80-90%,Female_x_55<=,120,0,110.0,22.0,44.0,13.0,110.0,110.0,5.0,,,,
2,EEE,2014B,1,0,Female,35-55,A Level or Equivalent,20-30%,Female_x_35-55,30,0,621.0,56.45454545454545,98.0,46.0,621.0,621.0,11.0,1.0,14.0,14.0,1.0
3,CCC,2013B,0,1,Male,35-55,No Formal quals,10-20%,Male_x_35-55,30,2,468.0,46.8,98.0,38.0,468.0,468.0,10.0,,,,
4,EEE,2014J,0,1,Female,0-35,Post Graduate Qualification,40-50%,Female_x_0-35,90,0,156.0,39.0,89.0,0.0,156.0,156.0,4.0,,,,
5,EEE,2014J,0,1,Female,0-35,Lower Than A Level,80-90%,Female_x_0-35,120,2,263.0,43.833333333333336,84.0,84.0,263.0,263.0,6.0,,,,
6,BBB,2014B,1,0,Female,35-55,No Formal quals,70-80%,Female_x_35-55,60,0,513.0,73.28571428571429,99.0,0.0,513.0,513.0,6.0,,,,
7,CCC,2014J,1,0,Female,0-35,Lower Than A Level,50-60%,Female_x_0-35,30,0,516.0,46.90909090909091,91.0,42.0,516.0,516.0,9.0,,,,
8,CCC,2014J,0,1,Male,0-35,HE Qualification,20-30%,Male_x_0-35,90,1,261.0,65.25,82.0,0.0,261.0,261.0,4.0,,,,
9,CCC,2013B,1,0,Female,55<=,Post Graduate Qualification,50-60%,Female_x_55<=,30,2,277.0,34.625,64.0,0.0,277.0,277.0,8.0,1.0,81.0,81.0,0.0
10,EEE,2013B,1,0,Male,35-55,No Formal quals,40-50%,Male_x_35-55,60,0,79.0,39.5,71.0,0.0,79.0,79.0,2.0,2.0,51.0,74.0,0.5
