old_name,new_name,year,title,ext,status,notes
A-Review-On-Sentiment-Analysis-Methodologies-Practices-And-Applications.pdf,"2020 text. It is also termed as emotion or feeling mining. On-line communication channels like Twitter, Facebook, YouTube, and so forth are these days a lot of.pdf",2020,"text. It is also termed as emotion or feeling mining. On-line communication channels like Twitter, Facebook, YouTube, and so forth are these days a lot of",.pdf,"dry-run.rename->2020 text. It is also termed as emotion or feeling mining. On-line communication channels like Twitter, Facebook, YouTube, and so forth are these days a lot of.pdf",fitz.title;fitz.year
applsci-11-08438-v2.pdf,2021 its technical feasibility with respect to different social scenarios. Such concerns must be reviewed from several aspects before e-learning can be adopted at such a larger scale. T.pdf,2021,its technical feasibility with respect to different social scenarios. Such concerns must be reviewed from several aspects before e-learning can be adopted at such a larger scale. T,.pdf,dry-run.rename->2021 its technical feasibility with respect to different social scenarios. Such concerns must be reviewed from several aspects before e-learning can be adopted at such a larger scale. T.pdf,fitz.title;fitz.year
applsci-11-09288-v2.pdf,2021 factors driving citation counts using articles published in first-tier hospitality and tourism journals found on the Web of Science. To further test the effects of research topic s.pdf,2021,factors driving citation counts using articles published in first-tier hospitality and tourism journals found on the Web of Science. To further test the effects of research topic s,.pdf,dry-run.rename->2021 factors driving citation counts using articles published in first-tier hospitality and tourism journals found on the Web of Science. To further test the effects of research topic s.pdf,fitz.title;fitz.year
applsci-11-09623-v3.pdf,2021 pillars on which program components are built. They are articulated linguistically as broad statements of graduates’ professional and career accomplishments within a few years of g.pdf,2021,pillars on which program components are built. They are articulated linguistically as broad statements of graduates’ professional and career accomplishments within a few years of g,.pdf,dry-run.rename->2021 pillars on which program components are built. They are articulated linguistically as broad statements of graduates’ professional and career accomplishments within a few years of g.pdf,fitz.title;fitz.year
applsci-11-10426-v2.pdf,2021 on the traditional learning contexts while little is known on its effectiveness in immersive virtual reality (IVR) learning environments. Based on the theories of experiential lear.pdf,2021,on the traditional learning contexts while little is known on its effectiveness in immersive virtual reality (IVR) learning environments. Based on the theories of experiential lear,.pdf,dry-run.rename->2021 on the traditional learning contexts while little is known on its effectiveness in immersive virtual reality (IVR) learning environments. Based on the theories of experiential lear.pdf,fitz.title;fitz.year
applsci-11-10694-v2.pdf,"2021 effect of this pandemic on mental health, in order to protect societies. This work aims to investigate to what extent deep learning models can assist in understanding society’s att.pdf",2021,"effect of this pandemic on mental health, in order to protect societies. This work aims to investigate to what extent deep learning models can assist in understanding society’s att",.pdf,"dry-run.rename->2021 effect of this pandemic on mental health, in order to protect societies. This work aims to investigate to what extent deep learning models can assist in understanding society’s att.pdf",fitz.title;fitz.year
applsci-11-10907-v3.pdf,"2021 obtain accurate results, artificial intelligence and machine learning are tools used in this field to achieve the expected goals. However, the diversity of studies and the differen.pdf",2021,"obtain accurate results, artificial intelligence and machine learning are tools used in this field to achieve the expected goals. However, the diversity of studies and the differen",.pdf,"dry-run.rename->2021 obtain accurate results, artificial intelligence and machine learning are tools used in this field to achieve the expected goals. However, the diversity of studies and the differen.pdf",fitz.title;fitz.year
applsci-12-01582.pdf,"2022 Therefore, in this paper, we propose a transformation model dedicated to converting the competency list to a competency tree. This solution incorporates text processing and analysi.pdf",2022,"Therefore, in this paper, we propose a transformation model dedicated to converting the competency list to a competency tree. This solution incorporates text processing and analysi",.pdf,"dry-run.rename->2022 Therefore, in this paper, we propose a transformation model dedicated to converting the competency list to a competency tree. This solution incorporates text processing and analysi.pdf",fitz.title;fitz.year
applsci-12-01678-v2.pdf,2022 terms of their preference between the two lecturing techniques. There was a statistically significant difference in the mean values for final grades of virtual and traditional tech.pdf,2022,terms of their preference between the two lecturing techniques. There was a statistically significant difference in the mean values for final grades of virtual and traditional tech,.pdf,dry-run.rename->2022 terms of their preference between the two lecturing techniques. There was a statistically significant difference in the mean values for final grades of virtual and traditional tech.pdf,fitz.title;fitz.year
applsci-12-11996.pdf,"2022 ing users’ opinions on specific items. Various RSs have been developed in different domains, such as e-commerce, e-government, e-resource services, e-business, e-library, e-tourism.pdf",2022,"ing users’ opinions on specific items. Various RSs have been developed in different domains, such as e-commerce, e-government, e-resource services, e-business, e-library, e-tourism",.pdf,"dry-run.rename->2022 ing users’ opinions on specific items. Various RSs have been developed in different domains, such as e-commerce, e-government, e-resource services, e-business, e-library, e-tourism.pdf",fitz.title;fitz.year
applsci-13-03121.pdf,"2023 content, user experience, credibility, and effectiveness. Overall, quality is essential in e-learning because it helps ensure that learners receive a high-quality education and can.pdf",2023,"content, user experience, credibility, and effectiveness. Overall, quality is essential in e-learning because it helps ensure that learners receive a high-quality education and can",.pdf,"dry-run.rename->2023 content, user experience, credibility, and effectiveness. Overall, quality is essential in e-learning because it helps ensure that learners receive a high-quality education and can.pdf",fitz.title;fitz.year
applsci-13-05014.pdf,"2023 The findings indicate that artificial intelligence, predominantly machine learning, can be considerably useful in the management of construction and IT projects; it is notably enco.pdf",2023,"The findings indicate that artificial intelligence, predominantly machine learning, can be considerably useful in the management of construction and IT projects; it is notably enco",.pdf,"dry-run.rename->2023 The findings indicate that artificial intelligence, predominantly machine learning, can be considerably useful in the management of construction and IT projects; it is notably enco.pdf",fitz.title;fitz.year
applsci-13-06716-v2.pdf,2023 institutions are increasingly exploring the use of artificial intelligence (AI) applications. This research essay aims to investigate the impact of AI on the education of internati.pdf,2023,institutions are increasingly exploring the use of artificial intelligence (AI) applications. This research essay aims to investigate the impact of AI on the education of internati,.pdf,dry-run.rename->2023 institutions are increasingly exploring the use of artificial intelligence (AI) applications. This research essay aims to investigate the impact of AI on the education of internati.pdf,fitz.title;fitz.year
applsci-13-10933-v2.pdf,2023 of video and text learning resources on user learning needs under different weights in order to deeply understand the different contributions of video and text learning resources t.pdf,2023,of video and text learning resources on user learning needs under different weights in order to deeply understand the different contributions of video and text learning resources t,.pdf,dry-run.rename->2023 of video and text learning resources on user learning needs under different weights in order to deeply understand the different contributions of video and text learning resources t.pdf,fitz.title;fitz.year
applsci-14-01963.pdf,"2024 forming by analyzing patterns in their historical academic data, thereby facilitating personalized support strategies. This research introduces an innovative deep learning model ta.pdf",2024,"forming by analyzing patterns in their historical academic data, thereby facilitating personalized support strategies. This research introduces an innovative deep learning model ta",.pdf,"dry-run.rename->2024 forming by analyzing patterns in their historical academic data, thereby facilitating personalized support strategies. This research introduces an innovative deep learning model ta.pdf",fitz.title;fitz.year
Applying_Machine_Learning_to_Estimate_the_Effort_and_Duration_of_Individual_Tasks_in_Software_Projects.pdf,"2020 agile. Recently, machine learning techniques have shown potential in this realm but are still underexplored, especially for individual task estimation. We investigate the use of ma.pdf",2020,"agile. Recently, machine learning techniques have shown potential in this realm but are still underexplored, especially for individual task estimation. We investigate the use of ma",.pdf,"dry-run.rename->2020 agile. Recently, machine learning techniques have shown potential in this realm but are still underexplored, especially for individual task estimation. We investigate the use of ma.pdf",fitz.title;fitz.year
appstore-analysis.pdf,"2016 See discussions, stats, and author profiles for this publication at- https---www.researchgate.net-publication-305728429 App Store Analysis- Using Regression Model for App Downloads.pdf",2016,"See discussions, stats, and author profiles for this publication at- https---www.researchgate.net-publication-305728429 App Store Analysis- Using Regression Model for App Downloads",.pdf,"dry-run.rename->2016 See discussions, stats, and author profiles for this publication at- https---www.researchgate.net-publication-305728429 App Store Analysis- Using Regression Model for App Downloads.pdf",fitz.title;fitz.year
