feature,importance
G2,0.29493670886075946
G1,0.03417721518987339
activities,0.0113924050632911
absences,0.010126582278480989
paid,0.010126582278480978
Medu,0.007594936708860733
reason,0.006329113924050611
Walc,0.006329113924050611
Fjob,0.005063291139240489
freetime,0.0037974683544303666
famsup,0.0037974683544303666
age,0.0037974683544303666
Fedu,0.0037974683544303666
famsize,0.0025316455696202445
Dalc,0.0025316455696202445
failures,0.0012658227848101223
schoolsup,0.0012658227848101223
romantic,0.0012658227848101223
guardian,0.0
Pstatus,0.0
address,0.0
health,0.0
goout,0.0
internet,0.0
famrel,0.0
traveltime,0.0
higher,0.0
nursery,0.0
Mjob,0.0
sex,0.0
studytime,0.0
school,0.0
