model_type,accuracy_mean,accuracy_std,f1_mean,f1_std
logistic,0.911392405063291,0.03300861977317798,0.9347614395260313,0.02404020720887114
random_forest,0.8936708860759494,0.023477515178470132,0.920920435260058,0.018027567443521648
gradient_boosting,0.9012658227848102,0.018603719565441875,0.9270230343393926,0.012902157482348908
svm,0.8734177215189873,0.03580287499678721,0.9085991509316365,0.025094658343254524
knn,0.8101265822784809,0.062012398551472864,0.866896187174825,0.03985361145454669
naive_bayes,0.7873417721518987,0.035261742473883834,0.8439832149075845,0.01934382341098297
extra_trees,0.8506329113924052,0.03141689530630594,0.8935039557733908,0.021511574194815763
mlp,0.8911392405063292,0.027266657251313962,0.9205114487189959,0.020079138347195713
xgboost,0.9164556962025315,0.017170455653481718,0.9377945946851265,0.011711550117296944
lightgbm,0.9088607594936707,0.021778038650740832,0.9326984126984128,0.015564551262785218
bagging,0.8936708860759494,0.03162024302986531,0.9197283099985052,0.025738056490150877
stacking,0.9164556962025315,0.03358607382638379,0.9383572960931452,0.024123835238438
